time_step,veh_id,x_pos,y_pos,speed,yaw
0.000000000000000000e+00,0.000000000000000000e+00,9.150000000000002132e+00,4.830000000000001847e+00,3.043005915209499079e+01,-1.971735860832525555e-03
0.000000000000000000e+00,1.000000000000000000e+00,2.077000000000000313e+01,8.630000000000002558e+00,2.279001974549385778e+01,1.316366067213767775e-03
0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,9.480000000000000426e+00,2.279031592584885502e+01,5.265418649083293198e-03
1.000000000000000000e+00,1.000000000000000000e+00,2.168136787689876144e+01,8.627002925262084787e+00,2.278432012234422288e+01,-3.288533653609906383e-03
1.000000000000000000e+00,2.000000000000000000e+00,5.910464180541924684e+00,9.490845227061704747e+00,2.276321927748657714e+01,1.191119254805122173e-02
2.000000000000000000e+00,1.000000000000000000e+00,2.259251587770948433e+01,8.619686952663284885e+00,2.277943429439756073e+01,-8.029228374535637980e-03
2.000000000000000000e+00,2.000000000000000000e+00,6.819783419139247016e+00,9.507687118288439265e+00,2.273687982913590844e+01,1.851931101368110844e-02
3.000000000000000000e+00,1.000000000000000000e+00,2.350347913423887647e+01,8.607773624850336702e+00,2.277602882042619470e+01,-1.307698047169073008e-02
3.000000000000000000e+00,2.000000000000000000e+00,7.727814502808764807e+00,9.530468993517434484e+00,2.270792073744572548e+01,2.508404970604550394e-02
4.000000000000000000e+00,1.000000000000000000e+00,2.441428416710908067e+01,8.591008435461828796e+00,2.277398295584413290e+01,-1.840492281086548998e-02
4.000000000000000000e+00,2.000000000000000000e+00,8.634417568317333647e+00,9.559130835197210629e+00,2.267640044680274869e+01,3.160401670735592944e-02
5.000000000000000000e+00,1.000000000000000000e+00,2.532495269949610517e+01,8.569138830853225031e+00,2.277327731527778454e+01,-2.401027498946403660e-02
5.000000000000000000e+00,2.000000000000000000e+00,9.539452325251119191e+00,9.593615610413239736e+00,2.264228774577416203e+01,3.808483648899894936e-02
6.000000000000000000e+00,1.000000000000000000e+00,2.623549884169775126e+01,8.541890445560129663e+00,2.277384398245307651e+01,-2.991639251412744199e-02
6.000000000000000000e+00,2.000000000000000000e+00,1.044278256737578303e+01,9.633901949991779290e+00,2.260570331096835162e+01,4.456804437712571371e-02
7.000000000000000000e+00,1.000000000000000000e+00,2.714592047756307025e+01,8.508998807448604040e+00,2.277538988290521260e+01,-3.611221182306156852e-02
7.000000000000000000e+00,2.000000000000000000e+00,1.134426990126828727e+01,9.680008661585924656e+00,2.256664078377973937e+01,5.110063164111120632e-02
8.000000000000000000e+00,1.000000000000000000e+00,2.805620379856280167e+01,8.470228659319719355e+00,2.277771455935927847e+01,-4.256557212521180911e-02
8.000000000000000000e+00,2.000000000000000000e+00,1.224379111735094128e+01,9.731973515249592310e+00,2.252552391453836833e+01,5.770532211907545422e-02
9.000000000000000000e+00,1.000000000000000000e+00,2.896633055857972749e+01,8.425337087350213139e+00,2.278083038067313737e+01,-4.928458461863259588e-02
9.000000000000000000e+00,2.000000000000000000e+00,1.314121542636696383e+01,9.789839012143634278e+00,2.248219859888707006e+01,6.439039116798694895e-02
1.000000000000000000e+01,1.000000000000000000e+00,2.987627379518450965e+01,8.374074562592173976e+00,2.278465136181804240e+01,-5.627647354389968964e-02
1.000000000000000000e+01,2.000000000000000000e+00,1.403639649040248294e+01,9.853660582985176219e+00,2.243633117167954083e+01,7.117416653763194989e-02
1.100000000000000000e+01,1.000000000000000000e+00,3.078600193726667200e+01,8.316234300605030327e+00,2.278912553723546708e+01,-6.349425761849218641e-02
1.100000000000000000e+01,2.000000000000000000e+00,1.492921799629986879e+01,9.923471253055062391e+00,2.238866581342671580e+01,7.803230402281469136e-02
1.200000000000000000e+01,1.000000000000000000e+00,3.169547796604875245e+01,8.251634001293735921e+00,2.279418573891612709e+01,-7.091114273707091464e-02
