time_step,veh_id,x_pos,y_pos,speed,yaw
0.000000000000000000e+00,0.000000000000000000e+00,5.909999999999996589e+00,9.160000000000000142e+00,2.288003496500824951e+01,1.748249967145355452e-03
0.000000000000000000e+00,1.000000000000000000e+00,5.931000000000000227e+01,5.130000000000002558e+00,2.455001832993205824e+01,1.221995318422522533e-03
0.000000000000000000e+00,2.000000000000000000e+00,3.893999999999999773e+01,4.610000000000002984e+00,2.443005116654486386e+01,-2.046661080077264230e-03
0.000000000000000000e+00,3.000000000000000000e+00,1.807999999999999829e+01,5.490000000000001990e+00,2.226027178630126357e+01,-4.941559058175732343e-03
0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,4.540000000000002700e+00,2.303999999999999915e+01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.028936253606519102e+01,5.099911406009009163e+00,2.449561568598028316e+01,-3.071297049483992514e-02
1.000000000000000000e+00,2.000000000000000000e+00,3.991531424399267536e+01,4.577874063231463175e+00,2.439607999182791431e+01,-3.292715741433908244e-02
1.000000000000000000e+00,3.000000000000000000e+00,1.896725266387745279e+01,5.469043980566270058e+00,2.218750273673428097e+01,-2.361460806958081901e-02
1.000000000000000000e+00,4.000000000000000000e+00,5.919708336545235206e+00,4.570422605037305352e+00,2.300528416483998129e+01,3.306647887812338288e-02
2.000000000000000000e+00,1.000000000000000000e+00,6.126508485973884177e+01,5.038750749360000114e+00,2.444093235277708587e+01,-6.260053869860168763e-02
2.000000000000000000e+00,2.000000000000000000e+00,4.088789281728461589e+01,4.515810207425638545e+00,2.436392060281039207e+01,-6.372730950746458012e-02
2.000000000000000000e+00,3.000000000000000000e+00,1.985102809514706834e+01,5.432034765571783552e+00,2.211374989274633762e+01,-4.185181329159978758e-02
2.000000000000000000e+00,4.000000000000000000e+00,6.836551776696945026e+00,4.630870379843170959e+00,2.297084874395429921e+01,6.583503242181312776e-02
3.000000000000000000e+00,1.000000000000000000e+00,6.223620524908924523e+01,4.946787113610462860e+00,2.438662698222573866e+01,-9.441692559985268018e-02
3.000000000000000000e+00,2.000000000000000000e+00,4.185688202611498809e+01,4.423922506700792567e+00,2.433340600355566608e+01,-9.454568261587326106e-02
3.000000000000000000e+00,3.000000000000000000e+00,2.073101667421319405e+01,5.379379582801407267e+00,2.203906287083519189e+01,-5.976495258861030252e-02
3.000000000000000000e+00,4.000000000000000000e+00,7.749592051962648220e+00,4.720938362041322556e+00,2.293679884043484662e+01,9.832810858234505846e-02
4.000000000000000000e+00,1.000000000000000000e+00,6.320177769729961170e+01,4.824324250100039180e+00,2.433268513854023141e+01,-1.261557296251226146e-01
4.000000000000000000e+00,2.000000000000000000e+00,4.282143376107068633e+01,4.302353651900116205e+00,2.430456536156834346e+01,-1.253755505933369929e-01
4.000000000000000000e+00,3.000000000000000000e+00,2.160692793459555361e+01,5.311497412072860413e+00,2.196344299579752146e+01,-7.734431499336874571e-02
4.000000000000000000e+00,4.000000000000000000e+00,8.657925029037603082e+00,4.840184825975330618e+00,2.290317276605218311e+01,1.305340776681339632e-01
5.000000000000000000e+00,1.000000000000000000e+00,6.416087341251876808e+01,4.671699869152907247e+00,2.427909070336099617e+01,-1.578104018948434106e-01
5.000000000000000000e+00,2.000000000000000000e+00,4.378070667842374064e+01,4.151274509439251581e+00,2.427742569309176091e+01,-1.562102671884603444e-01
5.000000000000000000e+00,3.000000000000000000e+00,2.247849094015190730e+01,5.228818588465939499e+00,2.188689477357757696e+01,-9.457967646400272654e-02
5.000000000000000000e+00,4.000000000000000000e+00,9.560682302259056797e+00,4.988132969581946519e+00,2.287000420243292709e+01,1.624407257566304608e-01
6.000000000000000000e+00,1.000000000000000000e+00,6.511258624073573742e+01,4.489331970239442526e+00,2.422570120175655717e+01,-1.893257325829042215e-01
6.000000000000000000e+00,2.000000000000000000e+00,4.473387525199358805e+01,3.970938673923768647e+00,2.425195022070706941e+01,-1.869860014233411527e-01
6.000000000000000000e+00,3.000000000000000000e+00,2.334546445609629828e+01,5.131832215052277490e+00,2.180953681845558378e+01,-1.114045669964174035e-01
6.000000000000000000e+00,4.000000000000000000e+00,1.045703037188010320e+01,5.164248842148450258e+00,2.283714986709206940e+01,1.940101727102795381e-01
7.000000000000000000e+00,1.000000000000000000e+00,6.605602594401391059e+01,4.277682126265220930e+00,2.417222230908747704e+01,-2.206847240636476137e-01
7.000000000000000000e+00,2.000000000000000000e+00,4.568013098784543047e+01,3.761640687078613876e+00,2.422815465695262915e+01,-2.176807322847158499e-01
7.000000000000000000e+00,3.000000000000000000e+00,2.420764308739098425e+01,5.021089451607174681e+00,2.173154320217264512e+01,-1.277458054205709015e-01
7.000000000000000000e+00,4.000000000000000000e+00,1.134617317803471082e+01,5.367964670398700733e+00,2.280453721872269668e+01,2.252275555934850071e-01
8.000000000000000000e+00,1.000000000000000000e+00,6.699032779929250125e+01,4.037245691764488775e+00,2.411858251188870383e+01,-2.518780860660584375e-01
8.000000000000000000e+00,2.000000000000000000e+00,4.661868274875514828e+01,3.523703265264437334e+00,2.420606360767782661e+01,-2.482846252180214708e-01
