time_step,veh_id,x_pos,y_pos,speed,yaw
4.000000000000000000e+00,2.000000000000000000e+00,3.990721375610995381e+01,5.167757565168609624e+00,2.121769335927238487e+01,-8.080944612639369418e-02
4.000000000000000000e+00,3.000000000000000000e+00,1.694502417960178065e+01,5.004785985337548482e+00,2.084653825462368459e+01,-1.647831334840214879e-01
4.000000000000000000e+00,4.000000000000000000e+00,8.875240956078593868e+00,9.666031129677589817e+00,2.437463686714793099e+01,1.664558602123757947e-01
5.000000000000000000e+00,1.000000000000000000e+00,6.472856371771933937e+01,9.182451225419391960e+00,2.294855355372069994e+01,-2.044790342340453704e-01
5.000000000000000000e+00,2.000000000000000000e+00,4.074461172891258087e+01,5.086367335970269465e+00,2.103360011777153105e+01,-9.688987161426057537e-02
5.000000000000000000e+00,3.000000000000000000e+00,1.774972175158529097e+01,4.836358392698963726e+00,2.055337618735340399e+01,-2.063268935334469645e-01
5.000000000000000000e+00,4.000000000000000000e+00,9.829633070188133814e+00,9.867216090897182212e+00,2.438416104891921066e+01,2.077573816257611561e-01
6.000000000000000000e+00,1.000000000000000000e+00,6.561917116355546398e+01,8.959020775385701185e+00,2.295515721712945734e+01,-2.458012908532305474e-01
6.000000000000000000e+00,2.000000000000000000e+00,4.157366123955733883e+01,4.993410095763151091e+00,2.085611630324592625e+01,-1.116587098228526836e-01
6.000000000000000000e+00,3.000000000000000000e+00,1.853542996626609352e+01,4.637556315705657184e+00,2.026171982510593850e+01,-2.478216031490202143e-01
6.000000000000000000e+00,4.000000000000000000e+00,1.077551904204293720e+01,1.010776810661779379e+01,2.439986608594084672e+01,2.490347298588270197e-01
7.000000000000000000e+00,1.000000000000000000e+00,6.650065604615119241e+01,8.698746590948067237e+00,2.297768277766345690e+01,-2.871097780973421720e-01
7.000000000000000000e+00,2.000000000000000000e+00,4.239453288949006549e+01,4.889818647768473525e+00,2.068455724932422513e+01,-1.255332951558611743e-01
7.000000000000000000e+00,3.000000000000000000e+00,1.930106930369868934e+01,4.409699445582573318e+00,1.997064014194515735e+01,-2.892566313245648058e-01
7.000000000000000000e+00,4.000000000000000000e+00,1.171129049354557061e+01,1.038729271115783881e+01,2.441569953419590888e+01,2.902731967722155804e-01
8.000000000000000000e+00,1.000000000000000000e+00,6.737197779763891958e+01,8.401849989451752876e+00,2.301289294335483149e+01,-3.284041738903358820e-01
8.000000000000000000e+00,2.000000000000000000e+00,4.320737924380971862e+01,4.776404213190307502e+00,2.051801083349456789e+01,-1.386325123727039366e-01
8.000000000000000000e+00,3.000000000000000000e+00,2.004564230075945375e+01,4.154146172300637652e+00,1.968019981220272641e+01,-3.306231247139318485e-01
8.000000000000000000e+00,4.000000000000000000e+00,1.263532150563014689e+01,1.070531917903083752e+01,2.443069464784289124e+01,3.314742704071859114e-01
9.000000000000000000e+00,1.000000000000000000e+00,6.823203359947483193e+01,8.068575296653031970e+00,2.305927149667380860e+01,-3.696873918968918149e-01
9.000000000000000000e+00,2.000000000000000000e+00,4.401235414973785964e+01,4.653851617094225013e+00,2.035626036972274733e+01,-1.510838386723846738e-01
9.000000000000000000e+00,3.000000000000000000e+00,2.076823459286122642e+01,3.872294120739233847e+00,1.939040032423046611e+01,-3.719053914726359600e-01
9.000000000000000000e+00,4.000000000000000000e+00,1.354600506675205018e+01,1.106130703338581434e+01,2.444473231784725797e+01,3.726385899223996212e-01
