time_step,veh_id,x_pos,y_pos,speed,yaw
0.000000000000000000e+00,0.000000000000000000e+00,2.762999999999999901e+01,9.910000000000000142e+00,2.391030112733839985e+01,-5.018778438846818041e-03
0.000000000000000000e+00,1.000000000000000000e+00,4.701999999999999602e+01,9.390000000000000568e+00,2.416005173835520026e+01,2.069533469253584911e-03
0.000000000000000000e+00,2.000000000000000000e+00,2.473000000000000043e+01,5.410000000000000142e+00,3.370014836762592125e+01,2.967350341074960051e-03
0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,8.699999999999999289e+00,2.771987914836570965e+01,-2.669881490629223003e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.797627492584700803e+01,9.379485568059088507e+00,2.390831820573572486e+01,-1.099475472541711421e-02
1.000000000000000000e+00,2.000000000000000000e+00,2.608434878533872947e+01,5.461348826325340688e+00,3.388304640887424313e+01,3.789588315729516821e-02
1.000000000000000000e+00,3.000000000000000000e+00,6.109249444628645165e+00,8.641984748556669871e+00,2.776913866832420652e+01,-5.225374639683055822e-02
2.000000000000000000e+00,1.000000000000000000e+00,4.892246766766003674e+01,9.360090473247726806e+00,2.365978754081491786e+01,-2.049516787594907533e-02
2.000000000000000000e+00,2.000000000000000000e+00,2.744333601278190571e+01,5.560513393809534577e+00,3.406501041939899466e+01,7.284036497949358813e-02
2.000000000000000000e+00,3.000000000000000000e+00,7.218499170545316090e+00,8.555850166168342597e+00,2.781472317776844250e+01,-7.749569986711141167e-02
3.000000000000000000e+00,1.000000000000000000e+00,4.985866829632147557e+01,9.334730704417639302e+00,2.341360094823603077e+01,-2.708134147807779099e-02
3.000000000000000000e+00,2.000000000000000000e+00,2.880524382504619041e+01,5.707897326805881022e+00,3.424648625052616069e+01,1.077992128912972913e-01
3.000000000000000000e+00,3.000000000000000000e+00,8.327012165270723187e+00,8.441473127934887799e+00,2.785995296063587290e+01,-1.028167617053352273e-01
4.000000000000000000e+00,1.000000000000000000e+00,5.078498414887280887e+01,9.306094565032481114e+00,2.316895939569239005e+01,-3.090416971901849622e-02
4.000000000000000000e+00,2.000000000000000000e+00,3.016834218302822634e+01,5.903947872951434306e+00,3.442812213671848554e+01,1.428475280354465360e-01
4.000000000000000000e+00,3.000000000000000000e+00,9.434110520652861709e+00,8.298646799909731087e+00,2.790683303945228744e+01,-1.283009513149426517e-01
5.000000000000000000e+00,1.000000000000000000e+00,5.170155421761160852e+01,9.276784609392711545e+00,2.292596459812883580e+01,-3.196697353984458145e-02
5.000000000000000000e+00,2.000000000000000000e+00,3.153087394785861264e+01,6.149153737797934838e+00,3.461049990904972162e+01,1.780574978900014149e-01
5.000000000000000000e+00,3.000000000000000000e+00,1.053913638911190986e+01,8.127360509773779995e+00,2.795555806937381860e+01,-1.537827340927149233e-01
6.000000000000000000e+00,1.000000000000000000e+00,5.260854013815240648e+01,9.248794493002300499e+00,2.268544283613924151e+01,-3.085079396305639987e-02
6.000000000000000000e+00,2.000000000000000000e+00,3.289099837077770871e+01,6.444164254419548321e+00,3.479376426475688788e+01,2.135911716461040832e-01
6.000000000000000000e+00,3.000000000000000000e+00,1.164140243191255486e+01,7.928131311241441104e+00,2.800315498585865015e+01,-1.788145716431290833e-01
7.000000000000000000e+00,1.000000000000000000e+00,5.350611970911844395e+01,9.223767548286511797e+00,2.244821031532053013e+01,-2.787548074474680004e-02
7.000000000000000000e+00,2.000000000000000000e+00,3.424681311293804242e+01,6.789416153722488190e+00,3.497706828258678513e+01,2.493459418681429618e-01
