time_step,veh_id,x_pos,y_pos,speed,yaw
0.000000000000000000e+00,0.000000000000000000e+00,2.855999999999999872e+01,9.110000000000002984e+00,2.303055579008027465e+01,-6.947348060094661777e-03
0.000000000000000000e+00,1.000000000000000000e+00,4.229999999999999716e+01,4.670000000000001705e+00,2.905099137723186331e+01,8.261429944136942927e-03
0.000000000000000000e+00,2.000000000000000000e+00,2.323999999999999844e+01,4.980000000000000426e+00,2.871000174155341256e+01,-3.483106790525565934e-04
0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,5.130000000000002558e+00,2.930038395652862349e+01,-5.119409200688812035e-03
1.000000000000000000e+00,1.000000000000000000e+00,4.345132692512763128e+01,4.656088193044303658e+00,2.878527430493572226e+01,-1.208269314628725860e-02
1.000000000000000000e+00,2.000000000000000000e+00,2.439564285094918716e+01,5.021207638048238664e+00,2.890943259110556696e+01,3.564266112573034190e-02
1.000000000000000000e+00,3.000000000000000000e+00,6.174006837997927377e+00,5.082128996608813232e+00,2.937456051406951829e+01,-4.075316871174585603e-02
2.000000000000000000e+00,1.000000000000000000e+00,4.459166599454315616e+01,4.621439861565113105e+00,2.852163323809840989e+01,-3.037489098034067830e-02
2.000000000000000000e+00,2.000000000000000000e+00,2.555701838314172392e+01,5.104295138906404183e+00,2.910859687848197197e+01,7.142063580324221894e-02
2.000000000000000000e+00,3.000000000000000000e+00,7.348494559311188112e+00,4.992758218360210165e+00,2.944707692964168544e+01,-7.594705473779234106e-02
3.000000000000000000e+00,1.000000000000000000e+00,4.572087372807122563e+01,4.569756358046972444e+00,2.825974710161426273e+01,-4.573778347242103692e-02
3.000000000000000000e+00,2.000000000000000000e+00,2.672260417395666110e+01,5.229617208425737296e+00,2.930759134655104958e+01,1.071070659827582927e-01
3.000000000000000000e+00,3.000000000000000000e+00,8.521842090376443579e+00,4.862073057270891674e+00,2.951507072651477870e+01,-1.109208979110088700e-01
4.000000000000000000e+00,1.000000000000000000e+00,4.683902781681985061e+01,4.505216487402464054e+00,2.800037902743556728e+01,-5.765604270981418422e-02
4.000000000000000000e+00,2.000000000000000000e+00,2.789084431926004015e+01,5.397723953672420194e+00,2.950683093471633356e+01,1.429163794083976868e-01
4.000000000000000000e+00,3.000000000000000000e+00,9.692370078911618947e+00,4.690129639126409344e+00,2.957723270299526419e+01,-1.458508188999472766e-01
5.000000000000000000e+00,1.000000000000000000e+00,4.794642703434774944e+01,4.432881839347924569e+00,2.774397826883533114e+01,-6.522673536819906248e-02
5.000000000000000000e+00,2.000000000000000000e+00,2.906020236778167032e+01,5.609588523601511945e+00,2.970989777870284598e+01,1.792359012356744552e-01
5.000000000000000000e+00,3.000000000000000000e+00,1.085826376239540991e+01,4.476973443704250322e+00,2.963047043199630792e+01,-1.808293234373092861e-01
6.000000000000000000e+00,1.000000000000000000e+00,4.904339490035793858e+01,4.357015116150561695e+00,2.748970555894115009e+01,-6.905043496215892973e-02
6.000000000000000000e+00,2.000000000000000000e+00,3.022901171933746767e+01,5.865977834107394706e+00,2.991499183964835851e+01,2.159391904016965125e-01
6.000000000000000000e+00,3.000000000000000000e+00,1.201786984602915709e+01,4.222758007270662972e+00,2.967860927209945743e+01,-2.158116154890841187e-01
7.000000000000000000e+00,1.000000000000000000e+00,5.013015022685869582e+01,4.280034535217893676e+00,2.723695960361697743e+01,-7.071712637267946189e-02
7.000000000000000000e+00,2.000000000000000000e+00,3.139557293725717102e+01,6.167249916214501582e+00,3.012090161552535861e+01,2.527343161811964611e-01
7.000000000000000000e+00,3.000000000000000000e+00,1.316975565230546863e+01,3.927711772672248802e+00,2.972681019773574818e+01,-2.507508816767352045e-01
8.000000000000000000e+00,1.000000000000000000e+00,5.120684917178672180e+01,4.203131775031739181e+00,2.698604561311938710e+01,-7.130348461475859156e-02
8.000000000000000000e+00,2.000000000000000000e+00,3.255815230214700051e+01,6.513531642155236945e+00,3.032636861491310043e+01,2.894890476326247852e-01
8.000000000000000000e+00,3.000000000000000000e+00,1.431251402970953635e+01,3.592159133689024397e+00,2.977511841554733252e+01,-2.856061833886431311e-01
9.000000000000000000e+00,1.000000000000000000e+00,5.227363914689348690e+01,4.127268197662009364e+00,2.673710125181414909e+01,-7.099436666965064369e-02
9.000000000000000000e+00,2.000000000000000000e+00,3.371499875037276439e+01,6.904747870172445623e+00,3.053014741444694380e+01,3.261014589231614469e-01
9.000000000000000000e+00,3.000000000000000000e+00,1.544480862097876006e+01,3.216631168051730327e+00,2.982356759336086327e+01,-3.202367509230133469e-01
1.000000000000000000e+01,1.000000000000000000e+00,5.333069074481545613e+01,4.054009270810383647e+00,2.648967901646830825e+01,-6.919432500969982525e-02
1.000000000000000000e+01,2.000000000000000000e+00,3.486438931624490323e+01,7.340830999923548816e+00,3.073340170898544343e+01,3.626259209831739216e-01
1.000000000000000000e+01,3.000000000000000000e+00,1.656532614693277594e+01,2.801620621656885302e+00,2.987257604799362198e+01,-3.547088345731507775e-01
1.100000000000000000e+01,1.000000000000000000e+00,5.437811388150705483e+01,3.984641229883972624e+00,2.624294134118296995e+01,-6.613076139479745486e-02
1.100000000000000000e+01,2.000000000000000000e+00,3.600463807095616886e+01,7.821536534776504901e+00,3.093587151126968493e+01,3.989699155963928323e-01
1.100000000000000000e+01,3.000000000000000000e+00,1.767283040427047069e+01,2.347474027423236187e+00,2.992506066279502974e+01,-3.891512223126581405e-01
