time_step,veh_id,x_pos,y_pos,speed,yaw
0.000000000000000000e+00,0.000000000000000000e+00,2.779000000000000270e+01,9.090000000000003411e+00,2.304055554885775692e+01,-6.944332815015551684e-03
0.000000000000000000e+00,1.000000000000000000e+00,4.226999999999999602e+01,4.700000000000002842e+00,2.903116428943214089e+01,8.956012690848769858e-03
0.000000000000000000e+00,2.000000000000000000e+00,2.316000000000000014e+01,4.980000000000000426e+00,2.872000174094702274e+01,-3.481894009707683577e-04
0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,5.120000000000000995e+00,2.929033458327166173e+01,-4.779751923877831495e-03
1.000000000000000000e+00,1.000000000000000000e+00,4.342311017598194667e+01,4.744731369550166278e+00,2.884943644786414652e+01,3.877248961688850581e-02
1.000000000000000000e+00,2.000000000000000000e+00,2.430517234750088917e+01,4.999111202599600290e+00,2.863329512501026741e+01,1.668694563205697090e-02
1.000000000000000000e+00,3.000000000000000000e+00,6.170539070809803128e+00,5.118025134492395267e+00,2.926351841869465531e+01,-1.687140295504344252e-03
2.000000000000000000e+00,1.000000000000000000e+00,4.456710907885961603e+01,4.823417702746487734e+00,2.866754511657294913e+01,6.867366505244684727e-02
2.000000000000000000e+00,2.000000000000000000e+00,2.544635529098063387e+01,5.037923376737551528e+00,2.854606907428766860e+01,3.399737079472836543e-02
2.000000000000000000e+00,3.000000000000000000e+00,7.340095975792770844e+00,5.119190239878031790e+00,2.923893713295570862e+01,9.961935116241339358e-04
3.000000000000000000e+00,1.000000000000000000e+00,4.570098339471444149e+01,4.935658965687219180e+00,2.848540267906722789e+01,9.866771823102168937e-02
3.000000000000000000e+00,2.000000000000000000e+00,2.658317014482755525e+01,5.096608971213877126e+00,2.845821510265137277e+01,5.157704154360676779e-02
3.000000000000000000e+00,3.000000000000000000e+00,8.508760303230786803e+00,5.123053907934424167e+00,2.921676785423270672e+01,3.306042538602861451e-03
4.000000000000000000e+00,1.000000000000000000e+00,4.682373628562852730e+01,5.081020304232100493e+00,2.830309140358505005e+01,1.287524820052760033e-01
4.000000000000000000e+00,2.000000000000000000e+00,2.771522501387142512e+01,5.175335234786365035e+00,2.836972474203373551e+01,6.943101497193088223e-02
4.000000000000000000e+00,3.000000000000000000e+00,9.676626731609534460e+00,5.129157575824232040e+00,2.919705945484749421e+01,5.226293152405771074e-03
5.000000000000000000e+00,1.000000000000000000e+00,4.793438254016139410e+01,5.259030197531866513e+00,2.812052880926665921e+01,1.589243211603218187e-01
5.000000000000000000e+00,2.000000000000000000e+00,2.884211061801697795e+01,5.274256055410750932e+00,2.828047574723030522e+01,8.755804646801003399e-02
5.000000000000000000e+00,3.000000000000000000e+00,1.084379110709320493e+01,5.137024396866065601e+00,2.917977217045537586e+01,6.740012017748628174e-03
6.000000000000000000e+00,1.000000000000000000e+00,4.903195512062175254e+01,5.469146659136654876e+00,2.793759224610862546e+01,1.891489158720864316e-01
6.000000000000000000e+00,2.000000000000000000e+00,2.996340208964890550e+01,5.393489384452089475e+00,2.819032581299806850e+01,1.059376217851911162e-01
6.000000000000000000e+00,3.000000000000000000e+00,1.201035190211289816e+01,5.146144139468765921e+00,2.916491104673258405e+01,7.817472405193825330e-03
7.000000000000000000e+00,1.000000000000000000e+00,5.011550789669760775e+01,5.710790403961724770e+00,2.775426001034316670e+01,2.194200892713165374e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.107866250123591456e+01,5.533139750018340131e+00,2.809924387612606367e+01,1.245693589263052736e-01
7.000000000000000000e+00,3.000000000000000000e+00,1.317641161464026034e+01,5.155990999095378058e+00,2.915253219944946039e+01,8.444357925339620458e-03
8.000000000000000000e+00,1.000000000000000000e+00,5.118411561047680181e+01,5.983348831314224014e+00,2.757048401675757887e+01,2.497347404398178594e-01
8.000000000000000000e+00,2.000000000000000000e+00,3.218744277670887755e+01,5.693284889762116663e+00,2.800714378803039750e+01,1.434416519185457151e-01
8.000000000000000000e+00,3.000000000000000000e+00,1.434207043874797094e+01,5.166041632801960048e+00,2.914255382445566056e+01,8.622063714394268691e-03
9.000000000000000000e+00,1.000000000000000000e+00,5.223687273513016294e+01,6.286184174240114331e+00,2.738620556541022921e+01,2.800969240403500260e-01
9.000000000000000000e+00,2.000000000000000000e+00,3.328928241260318543e+01,5.873983934980138599e+00,2.791396075634027696e+01,1.625506196207425758e-01
9.000000000000000000e+00,3.000000000000000000e+00,1.550742675230817369e+01,5.175770809382038706e+00,2.913492314250580506e+01,8.348477143101138559e-03
1.000000000000000000e+01,1.000000000000000000e+00,5.327290017102203024e+01,6.618623709119240139e+00,2.720143484578666460e+01,3.105001685914641762e-01
